chip,demo_id,latitude,longitude,firms_date,firms_time,firms_confidence,firms_frp,sentinel_scene,sentinel_datetime,sentinel_cloud_cover,label,label_source,image_source,bands,chip_size
demo_002_30.51386_73.90864.tif,1,30.51386,73.90864,2026-08-30,835,n,2.87,S2A_43RCP_20260829_1_L2A,2026-08-29T06:00:54.162000+00:00,12.439675,fire_candidate,NASA FIRMS VIIRS,Earth Search Sentinel-2 L2A COG,"B02,B03,B04,B08,B11,B12,SCL",224x224
demo_003_31.56918_72.22474.tif,2,31.56918,72.22474,2026-08-30,835,n,2.25,S2A_42SYA_20260829_0_L2A,2026-08-29T06:00:31.840000+00:00,0.064135,fire_candidate,NASA FIRMS VIIRS,Earth Search Sentinel-2 L2A COG,"B02,B03,B04,B08,B11,B12,SCL",224x224
demo_004_33.84936_72.20547.tif,3,33.84936,72.20547,2026-08-30,835,n,3.38,S2C_43SBT_20260827_0_L2A,2026-08-27T05:59:43.240000+00:00,2.103558,fire_candidate,NASA FIRMS VIIRS,Earth Search Sentinel-2 L2A COG,"B02,B03,B04,B08,B11,B12,SCL",224x224
demo_005_32.57351_72.56357.tif,4,32.57351,72.56357,2026-08-30,2055,n,4.1,S2A_43SBS_20260829_0_L2A,2026-08-29T06:00:15.001000+00:00,2.156433,fire_candidate,NASA FIRMS VIIRS,Earth Search Sentinel-2 L2A COG,"B02,B03,B04,B08,B11,B12,SCL",224x224
demo_010_31.32220_72.33394.tif,5,31.3222,72.33394,2026-08-31,813,n,8.52,S2A_43RBQ_20260829_1_L2A,2026-08-29T06:00:45.037000+00:00,0.150348,fire_candidate,NASA FIRMS VIIRS,Earth Search Sentinel-2 L2A COG,"B02,B03,B04,B08,B11,B12,SCL",224x224
demo_013_32.88905_71.61505.tif,6,32.88905,71.61505,2026-08-31,2038,n,3.29,S2A_42SYB_20260829_0_L2A,2026-08-29T06:00:17.149000+00:00,3.217103,fire_candidate,NASA FIRMS VIIRS,Earth Search Sentinel-2 L2A COG,"B02,B03,B04,B08,B11,B12,SCL",224x224
demo_017_30.67169_73.90612.tif,7,30.67169,73.90612,2026-09-01,756,n,3.03,S2C_43RCQ_20260827_0_L2A,2026-08-27T06:00:22.550000+00:00,0.047986,fire_candidate,NASA FIRMS VIIRS,Earth Search Sentinel-2 L2A COG,"B02,B03,B04,B08,B11,B12,SCL",224x224
demo_018_32.29880_73.30443.tif,8,32.2988,73.30443,2026-09-01,756,n,2.61,S2C_43SCR_20260827_0_L2A,2026-08-27T06:00:08.356000+00:00,0.838783,fire_candidate,NASA FIRMS VIIRS,Earth Search Sentinel-2 L2A COG,"B02,B03,B04,B08,B11,B12,SCL",224x224
demo_019_30.11697_73.26498.tif,9,30.11697,73.26498,2026-08-30,835,n,5.74,S2A_43RCP_20260829_1_L2A,2026-08-29T06:00:54.162000+00:00,12.439675,fire_candidate,NASA FIRMS VIIRS,Earth Search Sentinel-2 L2A COG,"B02,B03,B04,B08,B11,B12,SCL",224x224
demo_020_31.10913_74.49384.tif,10,31.10913,74.49384,2026-08-30,835,n,9.69,S2B_43RDQ_20260829_0_L2A,2026-08-29T05:50:22.750000+00:00,9.527583,fire_candidate,NASA FIRMS VIIRS,Earth Search Sentinel-2 L2A COG,"B02,B03,B04,B08,B11,B12,SCL",224x224
final_001_30.11638_73.26059.tif,11,30.11638,73.26059,2026-08-30,835,l,3.03,S2B_43RCP_20260822_0_L2A,2026-08-22T06:00:35.444000+00:00,0.004113,fire_candidate,NASA FIRMS VIIRS,Earth Search Sentinel-2 L2A COG,"B02,B03,B04,B08,B11,B12,SCL",224x224
final_002_30.35123_73.65195.tif,12,30.35123,73.65195,2026-08-30,835,n,1.82,S2B_43RCP_20260822_0_L2A,2026-08-22T06:00:35.444000+00:00,0.004113,fire_candidate,NASA FIRMS VIIRS,Earth Search Sentinel-2 L2A COG,"B02,B03,B04,B08,B11,B12,SCL",224x224
final_003_31.20820_73.91856.tif,13,31.2082,73.91856,2026-08-30,835,n,3.87,S2C_43RCQ_20260827_0_L2A,2026-08-27T06:00:22.550000+00:00,0.047986,fire_candidate,NASA FIRMS VIIRS,Earth Search Sentinel-2 L2A COG,"B02,B03,B04,B08,B11,B12,SCL",224x224
